tipo,vertices,instancia,metodo,resultado,tempo_ms,iteracoes,memoria_kb
denso,50,7,Backtracking,SIM,0.081,50,0
denso,50,7,Backtracking+Poda,SIM,0.648,50,0
denso,50,8,Backtracking,SIM,0.059,50,0
denso,50,8,Backtracking+Poda,SIM,0.546,50,0
denso,50,9,Backtracking,SIM,0.06,50,0
denso,50,9,Backtracking+Poda,SIM,0.548,50,0
esparso,10,1,Backtracking,SIM,0.019,77,0
esparso,10,1,Backtracking+Poda,SIM,0.028,10,0
esparso,10,1,Prog_Dinamica,SIM,0.357,1023,0
esparso,10,10,Backtracking,SIM,0.038,217,0
esparso,10,10,Backtracking+Poda,SIM,0.088,176,0
esparso,10,10,Prog_Dinamica,SIM,0.28,1023,128
esparso,10,2,Backtracking,SIM,0.121,566,0
esparso,10,2,Backtracking+Poda,SIM,0.3,566,0
esparso,10,2,Prog_Dinamica,SIM,0.347,1023,0
esparso,10,3,Backtracking,SIM,0.102,390,0
esparso,10,3,Backtracking+Poda,SIM,0.263,382,0
esparso,10,3,Prog_Dinamica,SIM,0.325,1023,0
esparso,10,4,Backtracking,SIM,0.257,1112,0
esparso,10,4,Backtracking+Poda,SIM,0.63,1047,0
esparso,10,4,Prog_Dinamica,SIM,0.398,1023,0
esparso,10,5,Backtracking,NAO,0.279,1498,0
esparso,10,5,Backtracking+Poda,NAO,0.917,1498,0
esparso,10,5,Prog_Dinamica,NAO,0.393,1023,128
esparso,10,6,Backtracking,SIM,0.092,327,0
esparso,10,6,Backtracking+Poda,SIM,0.224,327,0
esparso,10,6,Prog_Dinamica,SIM,0.344,1023,128
esparso,10,7,Backtracking,SIM,0.054,350,0
esparso,10,7,Backtracking+Poda,SIM,0.14,311,0
esparso,10,7,Prog_Dinamica,SIM,0.274,1023,128
esparso,10,8,Backtracking,NAO,0.371,2034,0
esparso,10,8,Backtracking+Poda,NAO,0.923,2034,0
esparso,10,8,Prog_Dinamica,NAO,0.291,1023,0
esparso,10,9,Backtracking,NAO,0.439,1962,0
esparso,10,9,Backtracking+Poda,NAO,0.993,1962,0
esparso,10,9,Prog_Dinamica,NAO,0.429,1023,128
esparso,20,1,Backtracking,NAO,19.409,94334,0
esparso,20,1,Backtracking+Poda,NAO,33.358,94334,0
esparso,20,1,Prog_Dinamica,NAO,86.185,1048575,73728
esparso,20,10,Backtracking,NAO,5.146,78976,0
esparso,20,10,Backtracking+Poda,NAO,14.845,78976,0
esparso,20,10,Prog_Dinamica,NAO,86.568,1048575,73728
esparso,20,2,Backtracking,NAO,6.361,96768,132
esparso,20,2,Backtracking+Poda,NAO,19.721,96768,132
esparso,20,2,Prog_Dinamica,NAO,88.333,1048575,73600
esparso,20,3,Backtracking,NAO,4.441,54052,0
esparso,20,3,Backtracking+Poda,NAO,10.866,54052,0
esparso,20,3,Prog_Dinamica,NAO,89.521,1048575,73728
esparso,20,4,Backtracking,NAO,7.149,97192,0
esparso,20,4,Backtracking+Poda,NAO,18.406,97192,0
esparso,20,4,Prog_Dinamica,NAO,86.119,1048575,73728
esparso,20,5,Backtracking,NAO,7.531,93750,0
esparso,20,5,Backtracking+Poda,NAO,20.358,93750,0
esparso,20,5,Prog_Dinamica,NAO,85.999,1048575,73728
esparso,20,6,Backtracking,NAO,3.701,60402,0
esparso,20,6,Backtracking+Poda,NAO,11.099,60402,0
esparso,20,6,Prog_Dinamica,NAO,86.255,1048575,73728
esparso,20,7,Backtracking,NAO,8.632,131430,0
esparso,20,7,Backtracking+Poda,NAO,24.897,131430,0
esparso,20,7,Prog_Dinamica,NAO,86.359,1048575,73728
esparso,20,8,Backtracking,NAO,6.423,99734,0
esparso,20,8,Backtracking+Poda,NAO,19.772,99734,0
esparso,20,8,Prog_Dinamica,NAO,87.166,1048575,73728
esparso,20,9,Backtracking,NAO,6.075,84174,0
esparso,20,9,Backtracking+Poda,NAO,17.305,84174,0
esparso,20,9,Prog_Dinamica,NAO,90.08,1048575,73600
esparso,30,1,Backtracking,NAO,387.779,4609680,0
esparso,30,1,Backtracking+Poda,NAO,1059.69,4609680,0
esparso,30,10,Backtracking,NAO,369.731,4174556,0
esparso,30,10,Backtracking+Poda,NAO,1044.21,4174556,0
esparso,30,
